Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,3588.659912,3594.709961,3578.149902,3587.520020,3587.520020,22404800
2019-02-26,3576.520020,3606.810059,3563.129883,3604.800049,3604.800049,23792700
2019-02-27,3591.229980,3604.199951,3576.219971,3595.610107,3595.610107,31409500
2019-02-28,3568.620117,3608.750000,3568.620117,3604.479980,3604.479980,47866000
2019-03-01,3623.949951,3654.270020,3617.939941,3644.139893,3644.139893,37003200
2019-03-04,3658.000000,3666.389893,3640.199951,3642.129883,3642.129883,22758300
2019-03-05,3643.120117,3672.860107,3628.439941,3641.139893,3641.139893,45204900
2019-03-06,3635.639893,3638.310059,3597.239990,3605.800049,3605.800049,52379000
2019-03-07,3599.090088,3605.129883,3551.310059,3573.229980,3573.229980,50095200
2019-03-08,3550.959961,3552.510010,3524.969971,3536.610107,3536.610107,37892800
2019-03-11,3549.820068,3572.810059,3546.300049,3568.870117,3568.870117,27134100
2019-03-12,3591.159912,3591.830078,3567.120117,3579.580078,3579.580078,24856200
2019-03-13,3575.770020,3598.750000,3567.270020,3597.409912,3597.409912,23751400
2019-03-14,3593.909912,3618.000000,3593.909912,3609.639893,3609.639893,25243600
2019-03-15,3611.270020,3644.050049,3610.169922,3640.260010,3640.260010,67223900
2019-03-18,3634.649902,3660.800049,3630.860107,3660.800049,3660.800049,27149100
2019-03-19,3662.080078,3707.810059,3662.080078,3688.489990,3688.489990,24306200
2019-03-20,3682.120117,3683.620117,3652.260010,3655.639893,3655.639893,23812800
2019-03-21,3648.290039,3661.100098,3634.679932,3654.659912,3654.659912,18915000
2019-03-22,3667.659912,3670.189941,3586.260010,3588.729980,3588.729980,28133500
2019-03-25,3567.989990,3585.600098,3538.030029,3560.679932,3560.679932,20385500
2019-03-26,3569.659912,3598.860107,3549.209961,3591.570068,3591.570068,16495800
2019-03-27,3596.350098,3644.189941,3588.949951,3614.570068,3614.570068,30876700
2019-03-28,3616.879883,3633.389893,3598.760010,3601.070068,3601.070068,15789700
2019-03-29,3622.169922,3660.760010,3614.270020,3658.719971,3658.719971,23552300
2019-04-01,3684.229980,3716.179932,3680.590088,3713.600098,3713.600098,21797500
2019-04-02,3717.939941,3744.429932,3717.939941,3736.780029,3736.780029,19022300
2019-04-03,3759.989990,3773.820068,3758.159912,3772.699951,3772.699951,22733800
2019-04-04,3763.169922,3786.229980,3757.570068,3782.219971,3782.219971,15591800
2019-04-05,3787.250000,3813.699951,3786.689941,3805.389893,3805.389893,18107900
2019-04-08,3792.290039,3806.879883,3780.550049,3793.080078,3793.080078,12338500
2019-04-09,3787.449951,3811.290039,3774.610107,3790.209961,3790.209961,16450100
2019-04-10,3787.959961,3805.100098,3772.580078,3778.300049,3778.300049,19743500
2019-04-11,3783.120117,3814.840088,3773.949951,3807.739990,3807.739990,21157900
2019-04-12,3801.280029,3845.050049,3790.560059,3845.050049,3845.050049,30869400
2019-04-15,3854.110107,3868.320068,3842.330078,3846.780029,3846.780029,19870300
2019-04-16,3849.949951,3866.060059,3841.360107,3860.169922,3860.169922,27170400
2019-04-17,3853.080078,3866.780029,3827.919922,3846.820068,3846.820068,29320300
2019-04-18,3834.010010,3865.830078,3819.179932,3852.300049,3852.300049,26997700
2019-04-23,3852.159912,3852.159912,3790.340088,3806.979980,3806.979980,23892900
2019-04-24,3794.570068,3794.570068,3748.320068,3752.199951,3752.199951,25110600
2019-04-25,3729.979980,3734.010010,3705.469971,3713.719971,3713.719971,20737700
2019-04-26,3712.790039,3734.080078,3701.389893,3727.620117,3727.620117,16653900
2019-04-29,3735.860107,3746.080078,3705.040039,3737.820068,3737.820068,17625300
2019-04-30,3728.030029,3752.239990,3723.939941,3743.669922,3743.669922,21530000
