Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,371.899994,373.179993,371.559998,372.179993,372.179993,177169100
2019-02-26,372.040009,374.109985,370.279999,373.640015,373.640015,193945200
2019-02-27,372.959991,373.059998,371.250000,372.579987,372.579987,217440600
2019-02-28,371.190002,373.190002,370.470001,372.799988,372.799988,253194400
2019-03-01,373.480011,375.670013,373.480011,374.239990,374.239990,195326400
2019-03-04,375.040009,376.320007,375.040009,375.089996,375.089996,166645400
2019-03-05,374.899994,376.119995,373.720001,375.640015,375.640015,199250700
2019-03-06,375.579987,376.850006,374.980011,375.480011,375.480011,206853400
2019-03-07,374.950012,376.339996,372.369995,373.880005,373.880005,238054200
2019-03-08,372.600006,372.600006,369.750000,370.570007,370.570007,198044700
2019-03-11,370.989990,373.630005,370.880005,373.470001,373.470001,171836200
2019-03-12,374.649994,375.200012,372.369995,373.250000,373.250000,202680200
2019-03-13,373.029999,375.609985,372.799988,375.600006,375.600006,189707000
2019-03-14,375.809998,379.070007,375.809998,378.519989,378.519989,203795300
2019-03-15,378.220001,381.470001,378.220001,381.100006,381.100006,381955700
2019-03-18,381.220001,382.190002,381.220001,382.109985,382.109985,185298000
2019-03-19,382.410004,385.329987,382.309998,384.290009,384.290009,174806000
2019-03-20,383.670013,383.700012,380.839996,380.839996,380.839996,193386900
2019-03-21,380.269989,381.290009,378.480011,380.690002,380.690002,181440300
2019-03-22,381.089996,381.820007,375.609985,376.029999,376.029999,224104500
2019-03-25,374.820007,375.470001,372.959991,374.329987,374.329987,170468200
2019-03-26,374.839996,377.869995,374.109985,377.200012,377.200012,170220800
2019-03-27,377.500000,379.589996,375.690002,377.279999,377.279999,213129800
2019-03-28,377.119995,378.809998,376.640015,376.839996,376.839996,167889000
2019-03-29,376.730011,379.549988,376.730011,379.089996,379.089996,237631800
2019-04-01,379.720001,383.790009,379.720001,383.670013,383.670013,199699500
2019-04-02,383.190002,385.679993,383.190002,385.029999,385.029999,184963100
2019-04-03,386.079987,388.920013,386.079987,388.920013,388.920013,223164300
